video_id,majority_sentiment,positive_count,negative_count,neutral_count,total_analyzed
V8eRPKquURg,Positive,4,0,3,7
xjDJZSt-r2o,Neutral,8,3,19,30
oP8B1-8VLP8,Neutral,3,2,8,13
U6ISqMbJ7HI,Negative,14,25,19,58
4EcYnZY6awU,Neutral,2,2,3,7
HJpaoyetNak,Negative,5,6,5,16
DhGY8ePtzpE,Positive,3,1,2,6
oGaSotGvJ6I,Positive,8,0,0,8
-foLP_UABpc,Positive,14,4,7,25
lTFGlaigieA,Positive,6,0,1,7
zo4TShNiPTw,Negative,1,6,5,12
AoC_a0bVurU,Negative,12,24,24,60
EqKP0yj4O_8,Neutral,3,3,7,13
5buoqLmkEbk,Neutral,1,4,8,13
8Ny4A7aFlvw,Neutral,0,0,4,4
OifMMwY7he8,Positive,6,0,6,12
ROmgV_fNcV8,Neutral,10,1,14,25
qYKBW71KanA,Neutral,6,4,14,24
d8v-Z58EVpU,Positive,14,1,9,24
wENVCQcThWk,Positive,14,2,11,27
Fj2QoURz-1Q,Neutral,2,1,5,8
TKWnZNx9cdw,Positive,4,1,3,8
DJw-cVoHy0Y,Positive,7,0,1,8
kcmLZmzvRes,Neutral,7,1,10,18
LVU5zkzv3ME,Positive,12,1,11,24
5yEajxbmucQ,Positive,25,2,19,46
mEjuLMkETlA,Neutral,4,4,2,10
icmZ3z-ULGM,Negative,5,10,5,20
K-TUTZwsH7M,Positive,4,2,1,7
3ACPpAliqEU,Positive,13,1,4,18
zWrmZaPIEzI,Neutral,39,9,52,100
QzjAHci8ppc,Positive,6,5,2,13
asvysjG4wWE,Positive,7,1,3,11
sU5DMTWxJV0,Positive,9,2,6,17
pPHI2zNf_ww,Positive,52,27,21,100
46cyh7ARQAc,Positive,60,26,14,100
ZyXfia8l_aM,Negative,31,49,20,100
NNzXcRS4l_E,Positive,19,4,7,30
Qb0Qtk7sRDE,Positive,10,0,2,12
EKv6uCWToY4,Positive,8,4,2,14
cuBvxGb5PHc,Positive,6,1,2,9
mJTvnlWWvj4,Positive,11,7,1,19
RWg1s7DQqxw,Neutral,28,14,29,71
eOGtC8Nnt74,Positive,3,0,3,6
IabhqGI1q1M,Neutral,4,4,6,14
tw2-8GmJ3xE,Positive,4,2,4,10
eotYX8V4DC0,Positive,13,7,12,32
iT-JNGaUoBE,Neutral,4,2,9,15
s8irxltl2Xc,Positive,5,2,2,9
rwLjDQPgQ4s,Positive,3,1,3,7
u0RmjuupzgA,Positive,12,1,5,18
E6NAUt21rcw,Positive,7,1,3,11
Hb3nbDbfpUY,Positive,4,1,3,8
1KU9nFyKoWc,Positive,7,0,1,8
4JM4WHIijCc,Neutral,5,0,6,11
xNklFAknpoo,Positive,12,4,11,27
TVoHWQOyUp8,Positive,7,1,5,13
NFoKeOWQ2xU,Neutral,0,0,9,9
ef1-BThPWU4,Neutral,5,1,10,16
Q0JZUAGkIcs,Neutral,4,1,19,24
f6Xyqris8i0,Neutral,6,0,15,21
7DM2jPwMw74,Neutral,2,0,25,27
9uuVuQKPdeU,Positive,42,20,38,100
23ygTFuWT0I,Neutral,0,0,9,9
tioQsj9znEU,Neutral,1,0,9,10
uP3hjc5_SMQ,Neutral,9,1,11,21
al-7KfqbFs8,Positive,8,2,7,17
67o-nU3fE8k,Neutral,25,4,29,58
18lN6JKK71I,Neutral,7,3,14,24
NYjnmLjnTko,Neutral,37,11,52,100
zdpmSlii_AY,Positive,4,2,2,8
O9EyyhuOT1s,Positive,5,0,3,8
AJspRW2JMLQ,Neutral,3,0,10,13
8L2U8CExM0o,Positive,4,0,1,5
TcdF2TY2qPI,Positive,7,1,1,9
5swJ2IOhotU,Positive,6,3,6,15
qP5VRiRVun8,Positive,27,4,15,46
k5LnykZEm_E,Positive,19,7,8,34
GuBCAxtBNx0,Positive,11,1,5,17
Q5Qe9Wm43lI,Neutral,12,5,14,31
VyHvVXimfP0,Positive,12,7,6,25
QPjTLzWB44E,Positive,56,20,24,100
oTN4cD5qHPM,Positive,3,0,2,5
jLddkXRw2us,Neutral,3,0,7,10
