video_id,majority_sentiment,positive_count,negative_count,neutral_count,total_analyzed
AdF1JZjOssE,Neutral,35,35,30,100
gc1TrxFyA20,Positive,8,2,1,11
-kGLG4B3oiE,Positive,8,2,4,14
5huTrJ5nm2U,Positive,13,1,3,17
J4fftbnA6-s,Positive,8,1,4,13
K4z2PUSxti0,Positive,28,4,14,46
NVvZjKRCqbc,Positive,54,18,28,100
tgwz7DkhgTQ,Positive,21,5,1,27
MJEmSmvzGJM,Positive,27,2,7,36
jqSnKAtVU74,Positive,8,1,2,11
Sv6x3QzeVl8,Positive,12,1,8,21
9mZUO5Mye0I,Positive,28,1,4,33
pxBFoUepZVc,Neutral,12,4,14,30
bEsQgNQ5Txg,Neutral,12,5,20,37
SyKG8a1-Vi0,Neutral,29,5,66,100
4r-TK_17wFY,Neutral,13,6,31,50
mMOfMD7xgcc,Neutral,7,4,14,25
DJTDaADfbyU,Positive,8,5,4,17
M2RMadyY6V4,Neutral,4,0,5,9
tibTtj5vY1Y,Positive,11,2,4,17
s2bjshQIRzw,Neutral,2,0,5,7
CoJ_ZOxXjV8,Positive,6,2,0,8
FsjPSekQ7lw,Positive,9,1,3,13
bbK4TJ9euLI,Positive,30,7,12,49
TxsyGcFRk10,Negative,3,4,1,8
l2mDYCmXZVk,Positive,38,7,10,55
BHnxbwPk3Hw,Positive,7,0,2,9
k3XA3GmfJ4Y,Positive,6,0,3,9
iZjpjBxSHg4,Neutral,14,14,6,34
lO0hFCVG8bw,Positive,14,2,8,24
-CGFPkKBcA8,Positive,21,0,11,32
nbhowMh2yLo,Positive,48,13,39,100
_7CjZh6y4xQ,Neutral,3,1,4,8
nEvHSVpdjj0,Neutral,4,3,12,19
2G9As8tl_no,Neutral,43,6,51,100
-DATyIM_sxw,Positive,64,3,16,83
FIKAZFmJe-0,Positive,11,1,3,15
AkLvLzLYMjU,Positive,39,6,28,73
pqoFMwXjcsY,Positive,46,11,43,100
3DEvm2LHKaM,Positive,27,9,14,50
C29zTTTNmu4,Positive,10,2,2,14
QIxZAiKDDF0,Negative,10,12,6,28
lZVTTRwzbGU,Positive,63,11,20,94
tPqZZbDsdFk,Positive,51,25,24,100
c6Mwe-8nAo8,Positive,4,1,1,6
Vziy24Y6IKI,Neutral,46,6,48,100
8fPNINHyGa8,Positive,10,2,2,14
6dV53gm3n3w,Neutral,2,0,4,6
_FFUAXnGFCg,Positive,16,6,5,27
e8ZekCPReDY,Positive,13,5,2,20
kHxX5UBLXyk,Negative,4,12,3,19
3cdrODXRBi4,Positive,76,10,14,100
1548bvhRSBk,Negative,2,5,2,9
7m2Lj0um670,Positive,1,0,1,2
ma_vUzkBvuI,Positive,40,4,19,63
6VIpxQMOmiU,Neutral,2,2,10,14
vHUSO9zEtUo,Negative,6,9,4,19
WtKVNUsHvvg,Positive,4,1,2,7
X5aVApc5-H8,Positive,8,0,2,10
veDIclJsZXg,Positive,8,4,5,17
OcrbIfjEpPo,Positive,7,2,7,16
JX76-uiFvSE,Positive,5,0,4,9
F4gIe3Oo_mI,Negative,3,8,2,13
Lp5EnUa89oQ,Positive,23,17,12,52
phuNR4N7KoA,Positive,3,0,2,5
fveNHqcnUoM,Neutral,33,19,41,93
ELFlyjkDvr8,Positive,4,3,2,9
8Z8y_ZweDw0,Positive,10,1,4,15
mpfc7QjDCfU,Neutral,0,3,6,9
QULVl3wpc5A,Neutral,2,2,0,4
YRr1b7lEVhQ,Neutral,5,1,10,16
x8IcPYrBt_E,Positive,5,3,1,9
At7qviZYkB8,Neutral,4,3,7,14
iA0hh3w_4fY,Positive,7,0,7,14
gO7LNJXT4_I,Positive,10,0,2,12
s31bvFurK1E,Neutral,7,0,10,17
TC0zfXXiZyg,Positive,7,0,3,10
m2vqu9rLRxQ,Neutral,2,1,6,9
fxaFOrGWugA,Neutral,31,11,58,100
YR7oNi6YFec,Positive,4,1,2,7
ZPGHdKqjF_Q,Positive,9,2,1,12
KcVTXZeCM7g,Positive,50,15,35,100
vH6uUT_OCvI,Positive,9,4,9,22
8FMhNiKYdOw,Neutral,11,6,18,35
BJ03yU_hvoY,Neutral,2,1,4,7
I906o8ULERE,Positive,4,0,3,7
Pu_3ApYzGWs,Neutral,28,15,57,100
tADXlHPC3IM,Neutral,37,9,54,100
lOsRB9s6d3M,Positive,59,6,35,100
kN9uRsixdAw,Positive,6,1,0,7
mBNBsZdMm-s,Positive,37,33,30,100
8doARrlLbiI,Neutral,11,21,25,57
IeXg8cX4kro,Positive,9,4,3,16
fHO2arEgxx0,Negative,13,34,28,75
BLA_OEZdy70,Negative,14,21,9,44
PM7Kd-hgK1g,Neutral,3,2,4,9
BI8--KAf3Rk,Neutral,1,1,6,8
SMRRW1vUP3M,Neutral,3,1,5,9
RE9nuNbkIpc,Negative,0,3,3,6
kS2sIXrtX_8,Positive,8,7,6,21
pDVHlusDFA0,Neutral,6,2,8,16
BoBfxXJC434,Neutral,30,20,39,89
e3BInUmT1CQ,Positive,2,1,2,5
E9mdvWluL7I,Neutral,1,2,4,7
N0CwNvm217A,Positive,14,1,6,21
ewowShd6X8w,Neutral,22,24,54,100
52Rhd4aMfVk,Neutral,6,8,9,23
pMScKi05RNU,Neutral,2,4,5,11
gJ9IGDwNWR4,Neutral,2,2,4,8
QoiYfsKgVG8,Positive,11,2,10,23
wgY1TNCGK8g,Positive,6,0,3,9
X7SnN0s9Kyw,Neutral,2,2,3,7
11z_kZkCR34,Neutral,33,16,51,100
p8EPiQkn2ks,Negative,2,7,3,12
zjkbaPCN1m4,Neutral,0,7,11,18
