2026-04-28 19:01:39,557 - Tested Config: SHARED_DIM=256, NUM_HEADS=2, DROPOUT=0.2, LR=0.001 -> MEAN ACC: 0.5000, F1: 0.3893
2026-04-28 19:01:43,754 - Tested Config: SHARED_DIM=256, NUM_HEADS=2, DROPOUT=0.3, LR=0.001 -> MEAN ACC: 0.5403, F1: 0.4311
2026-04-28 19:01:48,248 - Tested Config: SHARED_DIM=256, NUM_HEADS=2, DROPOUT=0.4, LR=0.001 -> MEAN ACC: 0.5627, F1: 0.4548
2026-04-28 19:01:52,969 - Tested Config: SHARED_DIM=256, NUM_HEADS=2, DROPOUT=0.2, LR=0.0003 -> MEAN ACC: 0.5471, F1: 0.4438
2026-04-28 19:01:57,753 - Tested Config: SHARED_DIM=256, NUM_HEADS=2, DROPOUT=0.3, LR=0.0003 -> MEAN ACC: 0.5494, F1: 0.4270
2026-04-28 19:02:03,053 - Tested Config: SHARED_DIM=256, NUM_HEADS=2, DROPOUT=0.4, LR=0.0003 -> MEAN ACC: 0.5224, F1: 0.3844
2026-04-28 19:02:16,851 - Tested Config: SHARED_DIM=256, NUM_HEADS=2, DROPOUT=0.2, LR=3e-05 -> MEAN ACC: 0.5181, F1: 0.3836
2026-04-28 19:02:36,920 - Tested Config: SHARED_DIM=256, NUM_HEADS=2, DROPOUT=0.3, LR=3e-05 -> MEAN ACC: 0.5360, F1: 0.4103
2026-04-28 19:03:01,075 - Tested Config: SHARED_DIM=256, NUM_HEADS=2, DROPOUT=0.4, LR=3e-05 -> MEAN ACC: 0.5425, F1: 0.4222
2026-04-28 19:03:05,822 - Tested Config: SHARED_DIM=256, NUM_HEADS=4, DROPOUT=0.2, LR=0.001 -> MEAN ACC: 0.5271, F1: 0.4396
2026-04-28 19:03:10,254 - Tested Config: SHARED_DIM=256, NUM_HEADS=4, DROPOUT=0.3, LR=0.001 -> MEAN ACC: 0.5426, F1: 0.4295
2026-04-28 19:03:15,046 - Tested Config: SHARED_DIM=256, NUM_HEADS=4, DROPOUT=0.4, LR=0.001 -> MEAN ACC: 0.5157, F1: 0.4095
2026-04-28 19:03:20,938 - Tested Config: SHARED_DIM=256, NUM_HEADS=4, DROPOUT=0.2, LR=0.0003 -> MEAN ACC: 0.5334, F1: 0.4214
2026-04-28 19:03:26,270 - Tested Config: SHARED_DIM=256, NUM_HEADS=4, DROPOUT=0.3, LR=0.0003 -> MEAN ACC: 0.5651, F1: 0.4500
2026-04-28 19:03:31,729 - Tested Config: SHARED_DIM=256, NUM_HEADS=4, DROPOUT=0.4, LR=0.0003 -> MEAN ACC: 0.5697, F1: 0.4237
2026-04-28 19:03:45,103 - Tested Config: SHARED_DIM=256, NUM_HEADS=4, DROPOUT=0.2, LR=3e-05 -> MEAN ACC: 0.5317, F1: 0.3864
2026-04-28 19:04:07,337 - Tested Config: SHARED_DIM=256, NUM_HEADS=4, DROPOUT=0.3, LR=3e-05 -> MEAN ACC: 0.5740, F1: 0.4505
2026-04-28 19:04:31,284 - Tested Config: SHARED_DIM=256, NUM_HEADS=4, DROPOUT=0.4, LR=3e-05 -> MEAN ACC: 0.5290, F1: 0.4064
2026-04-28 19:04:35,943 - Tested Config: SHARED_DIM=256, NUM_HEADS=8, DROPOUT=0.2, LR=0.001 -> MEAN ACC: 0.5200, F1: 0.4075
2026-04-28 19:04:40,021 - Tested Config: SHARED_DIM=256, NUM_HEADS=8, DROPOUT=0.3, LR=0.001 -> MEAN ACC: 0.5134, F1: 0.4278
2026-04-28 19:04:44,547 - Tested Config: SHARED_DIM=256, NUM_HEADS=8, DROPOUT=0.4, LR=0.001 -> MEAN ACC: 0.5447, F1: 0.4357
2026-04-28 19:04:49,255 - Tested Config: SHARED_DIM=256, NUM_HEADS=8, DROPOUT=0.2, LR=0.0003 -> MEAN ACC: 0.5784, F1: 0.4439
2026-04-28 19:04:54,751 - Tested Config: SHARED_DIM=256, NUM_HEADS=8, DROPOUT=0.3, LR=0.0003 -> MEAN ACC: 0.5650, F1: 0.4660
2026-04-28 19:05:00,939 - Tested Config: SHARED_DIM=256, NUM_HEADS=8, DROPOUT=0.4, LR=0.0003 -> MEAN ACC: 0.5335, F1: 0.4042
2026-04-28 19:05:20,021 - Tested Config: SHARED_DIM=256, NUM_HEADS=8, DROPOUT=0.2, LR=3e-05 -> MEAN ACC: 0.5628, F1: 0.4580
2026-04-28 19:05:41,180 - Tested Config: SHARED_DIM=256, NUM_HEADS=8, DROPOUT=0.3, LR=3e-05 -> MEAN ACC: 0.5180, F1: 0.4378
2026-04-28 19:06:00,369 - Tested Config: SHARED_DIM=256, NUM_HEADS=8, DROPOUT=0.4, LR=3e-05 -> MEAN ACC: 0.4910, F1: 0.3861
