video_id,title,description,published_at,view_count,comment_count,duration_sec,brand,full_text,url
V8eRPKquURg,this might be the recipe of the summer 🤤,"save this for your next bbq! recipe below⬇️

📹: @theveganpigeon

Grilled Onion Beyond Smash Burgers

SERVINGS: 4 burgers
PREP TIME: 5 minutes
COOK TIME: 10 minutes

INGREDIENTS:
2 packages Beyond Burgers
4 burger buns
4 slices of plant-based cheese
2 onions, sliced
1 tomato, sliced
Shredded romaine lettuce
Dill pickle chips

Burger Sauce:
⅓ cup plant-based mayo
1 tbsp mustard
1 tbsp ketchup
½ tsp garlic powder
½ tsp onion powder
½ tsp smoked paprika
1 tsp apple cider vinegar
2 tbsp chopped dill pickles

PREPARATION:
1. Preheat the flat top griddle to medium-high heat. Lightly coat with oil. Add onion slices and let onions grill for 2-3 minutes.
2. Add Beyond Burgers on top of sauteed onion slices. Use a burger press and ‘smash’ each patty into the onion slices.
3. Prepare plant-based burger sauce by mixing all ingredients together. Set aside.
4. Cook each burger for about four minutes before gently flipping, making sure to keep onions with the burger. Cook for about 4 minutes on the other side and gently flip again.
5. Add a slice of plant-based cheese, adding a bit of water (no more than 1 tsp) around the burger and covering to let steam until cheese is melted. If desired, toast each bun on the griddle for a few minutes. Lower heat on the griddle to keep all ingredients warm.
6. Assemble the smash burger, starting with coating the toasted buns with the burger sauce. Add 3-4 dill pickle chips to the bottom bun, along with sliced tomato and shredded lettuce. Top with the Beyond onion smash burger and cover with the top bun.",2025-07-03T20:09:41Z,6301,8,31.0,Beyond Meat,"this might be the recipe of the summer 🤤 save this for your next bbq! recipe below⬇️

📹: @theveganpigeon

Grilled Onion Beyond Smash Burgers

SERVINGS: 4 burgers
PREP TIME: 5 minutes
COOK TIME: 10 minutes

INGREDIENTS:
2 packages Beyond Burgers
4 burger buns
4 slices of plant-based cheese
2 onions, sliced
1 tomato, sliced
Shredded romaine lettuce
Dill pickle chips

Burger Sauce:
⅓ cup plant-based mayo
1 tbsp mustard
1 tbsp ketchup
½ tsp garlic powder
½ tsp onion powder
½ tsp smoked paprika
1 tsp apple cider vinegar
2 tbsp chopped dill pickles

PREPARATION:
1. Preheat the flat top griddle to medium-high heat. Lightly coat with oil. Add onion slices and let onions grill for 2-3 minutes.
2. Add Beyond Burgers on top of sauteed onion slices. Use a burger press and ‘smash’ each patty into the onion slices.
3. Prepare plant-based burger sauce by mixing all ingredients together. Set aside.
4. Cook each burger for about four minutes before gently flipping, making sure to keep onions with the burger. Cook for about 4 minutes on the other side and gently flip again.
5. Add a slice of plant-based cheese, adding a bit of water (no more than 1 tsp) around the burger and covering to let steam until cheese is melted. If desired, toast each bun on the griddle for a few minutes. Lower heat on the griddle to keep all ingredients warm.
6. Assemble the smash burger, starting with coating the toasted buns with the burger sauce. Add 3-4 dill pickle chips to the bottom bun, along with sliced tomato and shredded lettuce. Top with the Beyond onion smash burger and cover with the top bun.",https://www.youtube.com/watch?v=V8eRPKquURg
xjDJZSt-r2o,Declan Rice x Müller Rice | Rice Fever,"Do you have Rice Fever? Symptoms include:
Not being able to get Rice Rice Baby out of your head, an insatiable hunger for Müller Rice, and feelings of overwhelming love towards Declan Rice 🍚🍚👶",2024-06-17T12:04:08Z,75909,38,45.0,Müller,"Declan Rice x Müller Rice | Rice Fever Do you have Rice Fever? Symptoms include:
Not being able to get Rice Rice Baby out of your head, an insatiable hunger for Müller Rice, and feelings of overwhelming love towards Declan Rice 🍚🍚👶",https://www.youtube.com/watch?v=xjDJZSt-r2o
oP8B1-8VLP8,Müller | Love Every Bit | Family Tradition,,2023-07-17T11:51:24Z,18822,34,30.0,Müller,Müller | Love Every Bit | Family Tradition ,https://www.youtube.com/watch?v=oP8B1-8VLP8
U6ISqMbJ7HI,Müller Love Every Bit | Family Tradition | Director's Cut,,2023-07-17T11:47:12Z,41043,176,51.0,Müller,Müller Love Every Bit | Family Tradition | Director's Cut ,https://www.youtube.com/watch?v=U6ISqMbJ7HI
4EcYnZY6awU,Production Operative roles at Müller,"At Müller we process and pack billions of litres of liquid and cream products a year. The pace is fast but the opportunities are many for those who want an exciting career in manufacturing. You'll be working alongside and learning from some of the best in the business. There will be challenging and satisfying work and you'll thrive in a great culture with a genuine family atmosphere where your views are always valued and you can make a real difference.

Make today better
We pride ourselves on creating industry leading products and providing exceptional service to thousands of customers: from corner stores to some of the biggest retailers across the country.
You'll enjoy a career within a function and company that has a real desire to be the best. Our expertise, innovation and track record of delivering is combined with a clear plan on how to achieve this and transform the dairy industry. For those wanting to excel, develop and progress within our organisation, training and career opportunities are always available because we always look to develop our own people.
To find out more and apply now, please visit: 
https://www.mullercareers.co.uk/",2018-08-10T10:57:47Z,21580,13,73.0,Müller,"Production Operative roles at Müller At Müller we process and pack billions of litres of liquid and cream products a year. The pace is fast but the opportunities are many for those who want an exciting career in manufacturing. You'll be working alongside and learning from some of the best in the business. There will be challenging and satisfying work and you'll thrive in a great culture with a genuine family atmosphere where your views are always valued and you can make a real difference.

Make today better
We pride ourselves on creating industry leading products and providing exceptional service to thousands of customers: from corner stores to some of the biggest retailers across the country.
You'll enjoy a career within a function and company that has a real desire to be the best. Our expertise, innovation and track record of delivering is combined with a clear plan on how to achieve this and transform the dairy industry. For those wanting to excel, develop and progress within our organisation, training and career opportunities are always available because we always look to develop our own people.
To find out more and apply now, please visit: 
https://www.mullercareers.co.uk/",https://www.youtube.com/watch?v=4EcYnZY6awU
HJpaoyetNak,The Impossible Hot Dog Takeover at Slutty Vegan,"We brought our Impossible Hot Dogs to Slutty Vegan for a day, and this time, we got a little…corny. Keep an eye out for our Impossible Hot Dog on restaurant menus this year.

More on the Impossible Hot Dog:
Kind of obsessed with meat? We’re right there with you. That’s why we took so much time and care to make you this beefy, meaty treat that tastes like a delicious hot dog, because it is a delicious hot dog…made from plants! Only this one’s got 12g of protein and half the saturated fat of the animal version.* Plus it generates 84% less greenhouse gas emissions, uses 77% less water and 83% less land than an animal beef hot dog.** But don’t worry, it still tastes like an awesomely bad decision.

*Saturated fat per serving: A leading animal  beef hot dog 6g, Impossible Hot Dog 3g.
**Impossible Beef Hot Dogs US LCA (2023).",2024-02-05T21:50:48Z,4301,20,34.0,Impossible Foods,"The Impossible Hot Dog Takeover at Slutty Vegan We brought our Impossible Hot Dogs to Slutty Vegan for a day, and this time, we got a little…corny. Keep an eye out for our Impossible Hot Dog on restaurant menus this year.

More on the Impossible Hot Dog:
Kind of obsessed with meat? We’re right there with you. That’s why we took so much time and care to make you this beefy, meaty treat that tastes like a delicious hot dog, because it is a delicious hot dog…made from plants! Only this one’s got 12g of protein and half the saturated fat of the animal version.* Plus it generates 84% less greenhouse gas emissions, uses 77% less water and 83% less land than an animal beef hot dog.** But don’t worry, it still tastes like an awesomely bad decision.

*Saturated fat per serving: A leading animal  beef hot dog 6g, Impossible Hot Dog 3g.
**Impossible Beef Hot Dogs US LCA (2023).",https://www.youtube.com/watch?v=HJpaoyetNak
DhGY8ePtzpE,Live From New York: The Impossible Hot Dog,"Our hot dogs from plants are kind of a big deal. Don't take it from us, take it from the people who were the first to taste our new hot dog. 🤝

More on the Impossible Hot Dog:
Kind of obsessed with meat? We’re right there with you. That’s why we took so much time and care to make you this beefy, meaty treat that tastes like a delicious hot dog, because it is a delicious hot dog…made from plants! Only this one’s got 12g of protein and half the saturated fat of the animal version.* Plus it generates 84% less greenhouse gas emissions, uses 77% less water and 83% less land than an animal beef hot dog.** But don’t worry, it still tastes like an awesomely bad decision.

*Saturated fat per serving: A leading animal  beef hot dog 6g, Impossible Hot Dog 3g.
**Impossible Beef Hot Dogs US LCA (2023).",2024-02-02T23:03:13Z,2544,8,31.0,Impossible Foods,"Live From New York: The Impossible Hot Dog Our hot dogs from plants are kind of a big deal. Don't take it from us, take it from the people who were the first to taste our new hot dog. 🤝

More on the Impossible Hot Dog:
Kind of obsessed with meat? We’re right there with you. That’s why we took so much time and care to make you this beefy, meaty treat that tastes like a delicious hot dog, because it is a delicious hot dog…made from plants! Only this one’s got 12g of protein and half the saturated fat of the animal version.* Plus it generates 84% less greenhouse gas emissions, uses 77% less water and 83% less land than an animal beef hot dog.** But don’t worry, it still tastes like an awesomely bad decision.

*Saturated fat per serving: A leading animal  beef hot dog 6g, Impossible Hot Dog 3g.
**Impossible Beef Hot Dogs US LCA (2023).",https://www.youtube.com/watch?v=DhGY8ePtzpE
oGaSotGvJ6I,Impossible Hot Dog - Holiday Movie - Preview,"Presenting a new Impossible holiday original, with no commercial interruptions, but pretty much nonstop product placement. Happy holidays from Impossible! 🌭🫶🌱

More on the Impossible Hot Dog:
Kind of obsessed with meat? We’re right there with you. That’s why we took so much time and care to make you this beefy, meaty treat that tastes like a delicious hot dog, because it is a delicious hot dog…made from plants! Only this one’s got 12g of protein and half the saturated fat of the animal version.* Plus it generates 84% less greenhouse gas emissions, uses 77% less water and 83% less land than an animal beef hot dog.** But don’t worry, it still tastes like an awesomely bad decision.

*Saturated fat per serving: A leading animal  beef hot dog 6g, Impossible Hot Dog 3g.
**Impossible Beef Hot Dogs US LCA (2023).",2023-12-15T13:20:16Z,3935,13,109.0,Impossible Foods,"Impossible Hot Dog - Holiday Movie - Preview Presenting a new Impossible holiday original, with no commercial interruptions, but pretty much nonstop product placement. Happy holidays from Impossible! 🌭🫶🌱

More on the Impossible Hot Dog:
Kind of obsessed with meat? We’re right there with you. That’s why we took so much time and care to make you this beefy, meaty treat that tastes like a delicious hot dog, because it is a delicious hot dog…made from plants! Only this one’s got 12g of protein and half the saturated fat of the animal version.* Plus it generates 84% less greenhouse gas emissions, uses 77% less water and 83% less land than an animal beef hot dog.** But don’t worry, it still tastes like an awesomely bad decision.

*Saturated fat per serving: A leading animal  beef hot dog 6g, Impossible Hot Dog 3g.
**Impossible Beef Hot Dogs US LCA (2023).",https://www.youtube.com/watch?v=oGaSotGvJ6I
-foLP_UABpc,The Adventures of the Phillyboy: Origin Story,"Whenever food calls, the Phillyboy answers.",2026-02-25T13:24:22Z,794642,33,31.0,Philadelphia,"The Adventures of the Phillyboy: Origin Story Whenever food calls, the Phillyboy answers.",https://www.youtube.com/watch?v=-foLP_UABpc
lTFGlaigieA,This Is Not an Ad for Cream Cheese. It's An Ad for Philadelphia Plant-Based,"For the first time in 150 years, we’re not making cream cheese. Try New Philadelphia Plant-Based Spread. Available now.",2023-09-15T19:39:38Z,5330782,8,16.0,Philadelphia,"This Is Not an Ad for Cream Cheese. It's An Ad for Philadelphia Plant-Based For the first time in 150 years, we’re not making cream cheese. Try New Philadelphia Plant-Based Spread. Available now.",https://www.youtube.com/watch?v=lTFGlaigieA
zo4TShNiPTw,"If you can’t spread Philly, spread the feeling","A shelf without cream cheese is a holiday without cheesecake. So if you can’t make your favorite dessert this year, buy any other one. And we’ll pay for it. 
For your chance to reserve a free dessert up to $20 with a valid receipt, visit spreadthefeeling.com 
On 12/17 and 12/18 starting at 12pm EST, go to SpreadTheFeeling.com to be one of the first to reserve a limited spot to receive a $20 digital reward with a valid receipt to cover the cost of your holiday dessert.",2021-12-17T00:31:07Z,1040594,14,26.0,Philadelphia,"If you can’t spread Philly, spread the feeling A shelf without cream cheese is a holiday without cheesecake. So if you can’t make your favorite dessert this year, buy any other one. And we’ll pay for it. 
For your chance to reserve a free dessert up to $20 with a valid receipt, visit spreadthefeeling.com 
On 12/17 and 12/18 starting at 12pm EST, go to SpreadTheFeeling.com to be one of the first to reserve a limited spot to receive a $20 digital reward with a valid receipt to cover the cost of your holiday dessert.",https://www.youtube.com/watch?v=zo4TShNiPTw
AoC_a0bVurU,Spread The Feeling,"A shelf without cream cheese is a holiday without cheesecake. So if you can’t make your favorite dessert this year, buy any other one. And we’ll pay for it. 

For your chance to reserve a free dessert up to $20 with a valid receipt, visit spreadthefeeling.com

On 12/17 and 12/18 starting at 12pm EST, go to SpreadTheFeeling.com to be one of the first to reserve a limited spot to receive a $20 digital reward with a valid receipt to cover the cost of your holiday dessert.",2021-12-15T18:05:02Z,57680,90,46.0,Philadelphia,"Spread The Feeling A shelf without cream cheese is a holiday without cheesecake. So if you can’t make your favorite dessert this year, buy any other one. And we’ll pay for it. 

For your chance to reserve a free dessert up to $20 with a valid receipt, visit spreadthefeeling.com

On 12/17 and 12/18 starting at 12pm EST, go to SpreadTheFeeling.com to be one of the first to reserve a limited spot to receive a $20 digital reward with a valid receipt to cover the cost of your holiday dessert.",https://www.youtube.com/watch?v=AoC_a0bVurU
EqKP0yj4O_8,My First Cheesecake: Featuring Phoenix,"Baking a cheesecake is easy. So easy you can do it while training. Watch Phoenix try it for the first time, then see for yourself how easy it is. Follow the recipe, it’s a piece of (cheese)cake. https://www.myfoodandfamily.com/recipe/055102/3-step-philadelphia-mini-cheesecakes",2020-08-31T04:00:01Z,9317828,27,30.0,Philadelphia,"My First Cheesecake: Featuring Phoenix Baking a cheesecake is easy. So easy you can do it while training. Watch Phoenix try it for the first time, then see for yourself how easy it is. Follow the recipe, it’s a piece of (cheese)cake. https://www.myfoodandfamily.com/recipe/055102/3-step-philadelphia-mini-cheesecakes",https://www.youtube.com/watch?v=EqKP0yj4O_8
5buoqLmkEbk,My First Cheesecake: Featuring Becky,"Meet Becky. And her two sock puppets. Together, they set out to bake their very first cheesecake. If they can do it, so can you. See for yourself. www.myfoodandfamily.com/recipe/051208/philadelphia-3-step-cheesecake",2020-08-31T04:00:00Z,7531069,14,30.0,Philadelphia,"My First Cheesecake: Featuring Becky Meet Becky. And her two sock puppets. Together, they set out to bake their very first cheesecake. If they can do it, so can you. See for yourself. www.myfoodandfamily.com/recipe/051208/philadelphia-3-step-cheesecake",https://www.youtube.com/watch?v=5buoqLmkEbk
8Ny4A7aFlvw,My First Cheesecake: Featuring Hillary,Baking a cheesecake while doing yoga is impressive. Until you realize how ridiculously easy the cheesecake part is. See for yourself with this simple recipe. https://www.myfoodandfamily.com/recipe/143464/philadelphia-mini-cheesecakes,2020-07-30T22:03:45Z,2643,9,31.0,Philadelphia,My First Cheesecake: Featuring Hillary Baking a cheesecake while doing yoga is impressive. Until you realize how ridiculously easy the cheesecake part is. See for yourself with this simple recipe. https://www.myfoodandfamily.com/recipe/143464/philadelphia-mini-cheesecakes,https://www.youtube.com/watch?v=8Ny4A7aFlvw
OifMMwY7he8,My First Cheesecake: Featuring Mike,"Mike’s a pro wrestler but an amateur baker. Watch him discover how to turn on an oven as he makes his first cheesecake. Luckily, it’s easy to make, see for yourself with this recipe. https://www.myfoodandfamily.com/recipe/052544/philadelphia-classic-cheesecake",2020-06-30T01:35:04Z,5523158,16,15.0,Philadelphia,"My First Cheesecake: Featuring Mike Mike’s a pro wrestler but an amateur baker. Watch him discover how to turn on an oven as he makes his first cheesecake. Luckily, it’s easy to make, see for yourself with this recipe. https://www.myfoodandfamily.com/recipe/052544/philadelphia-classic-cheesecake",https://www.youtube.com/watch?v=OifMMwY7he8
ROmgV_fNcV8,My First Cheesecake: Featuring Mike,"Mike’s a pro wrestler but an amateur baker. Watch him discover how to turn on an oven as he makes his first cheesecake. Luckily, it’s easy to make, see for yourself with this recipe. https://www.myfoodandfamily.com/recipe/052544/philadelphia-classic-cheesecake",2020-06-30T01:34:51Z,4195225,31,30.0,Philadelphia,"My First Cheesecake: Featuring Mike Mike’s a pro wrestler but an amateur baker. Watch him discover how to turn on an oven as he makes his first cheesecake. Luckily, it’s easy to make, see for yourself with this recipe. https://www.myfoodandfamily.com/recipe/052544/philadelphia-classic-cheesecake",https://www.youtube.com/watch?v=ROmgV_fNcV8
qYKBW71KanA,8 People. 8 First Time Cheesecakes.,Never made a cheesecake? These 8 first timers set out to show you how easy it is. Keep up with our channel to see the results. Spoiler alert: It’s a Piece of (Cheese)cake.,2020-06-23T19:48:18Z,5528854,39,30.0,Philadelphia,8 People. 8 First Time Cheesecakes. Never made a cheesecake? These 8 first timers set out to show you how easy it is. Keep up with our channel to see the results. Spoiler alert: It’s a Piece of (Cheese)cake.,https://www.youtube.com/watch?v=qYKBW71KanA
d8v-Z58EVpU,My First Cheesecake: Featuring Hillary,Baking a cheesecake while doing yoga is impressive. Until you realize how ridiculously easy the cheesecake part is. See for yourself with this simple recipe: https://www.myfoodandfamily.com/recipe/143464/philadelphia-mini-cheesecakes,2020-06-23T19:48:13Z,6452577,29,30.0,Philadelphia,My First Cheesecake: Featuring Hillary Baking a cheesecake while doing yoga is impressive. Until you realize how ridiculously easy the cheesecake part is. See for yourself with this simple recipe: https://www.myfoodandfamily.com/recipe/143464/philadelphia-mini-cheesecakes,https://www.youtube.com/watch?v=d8v-Z58EVpU
wENVCQcThWk,My First Cheesecake: Featuring Antonio,"If a 9-year-old can do it, so can you. Watch Antonio bake his very first cheesecake, then see for yourself how easy it is. Follow this recipe, it’s a piece of (cheese)cake: https://www.myfoodandfamily.com/recipe/053007/philadelphia-3-step-cheesecake-bars",2020-06-23T19:48:08Z,4931730,41,30.0,Philadelphia,"My First Cheesecake: Featuring Antonio If a 9-year-old can do it, so can you. Watch Antonio bake his very first cheesecake, then see for yourself how easy it is. Follow this recipe, it’s a piece of (cheese)cake: https://www.myfoodandfamily.com/recipe/053007/philadelphia-3-step-cheesecake-bars",https://www.youtube.com/watch?v=wENVCQcThWk
