video_id,title,description,published_at,view_count,comment_count,duration_sec,brand,full_text,url,majority_sentiment,positive_count,negative_count,neutral_count,total_analyzed
AdF1JZjOssE,PRIME VS Gatorade Logan Paul #drinkprime #loganpaul #prime #primehydration #gatorade #shorts #wwe,,2025-08-03T17:28:23Z,11316375,627,24.0,Prime Creations,PRIME VS Gatorade Logan Paul #drinkprime #loganpaul #prime #primehydration #gatorade #shorts #wwe ,https://www.youtube.com/watch?v=AdF1JZjOssE,Neutral,35,35,30,100
gc1TrxFyA20,Honey Almond Cookie Matcha Latte,"​@emmachamberlain's take on a Honey Almond Cookie Matcha Latte using our new Honey Matcha.

Ingredients:
1-2 tsp. Honey Matcha
1 tsp. honey
½ tsp. almond extract
1 c. milk of choice
1-2 tsp. Nutpods Vanilla Creamer

Directions: Whisk the Honey Matcha until smooth and frothy, then add the honey and almond extract and blend until fully combined. Pour the matcha into your milk of choice and finish by topping it with Nutpods Vanilla Creamer.

Shop our new Honey Collection on chamberlaincoffee.com.",2025-11-22T16:41:10Z,7328,11,100.0,Chamberlain Coffee,"Honey Almond Cookie Matcha Latte ​@emmachamberlain's take on a Honey Almond Cookie Matcha Latte using our new Honey Matcha.

Ingredients:
1-2 tsp. Honey Matcha
1 tsp. honey
½ tsp. almond extract
1 c. milk of choice
1-2 tsp. Nutpods Vanilla Creamer

Directions: Whisk the Honey Matcha until smooth and frothy, then add the honey and almond extract and blend until fully combined. Pour the matcha into your milk of choice and finish by topping it with Nutpods Vanilla Creamer.

Shop our new Honey Collection on chamberlaincoffee.com.",https://www.youtube.com/watch?v=gc1TrxFyA20,Positive,8,2,1,11
-kGLG4B3oiE,emma chamberlain’s latest creation. visit chamberlain coffee to see if it made the menu.,,2025-03-16T15:54:47Z,37064,15,66.0,Chamberlain Coffee,emma chamberlain’s latest creation. visit chamberlain coffee to see if it made the menu. ,https://www.youtube.com/watch?v=-kGLG4B3oiE,Positive,8,2,4,14
5huTrJ5nm2U,the greatest roast on earth,"step right up… meet the animal cracker coffee blend and the animal cracker latte made with oatmilk —a carnival in your cup with graham cracker, vanilla, and honey notes. grab the limited edition circus tin to store all your treasures (or coffee beans).",2024-11-15T22:43:19Z,8742,18,38.0,Chamberlain Coffee,"the greatest roast on earth step right up… meet the animal cracker coffee blend and the animal cracker latte made with oatmilk —a carnival in your cup with graham cracker, vanilla, and honey notes. grab the limited edition circus tin to store all your treasures (or coffee beans).",https://www.youtube.com/watch?v=5huTrJ5nm2U,Positive,13,1,3,17
J4fftbnA6-s,meet coconut cold brew,"meet coconut cold brew, made for iced-coffee-only type weather with tasting notes of sweet coconut, rich caramel and creamy macadamia nut… 

website: www.chamberlaincoffee.com 
instagram: www.instagram.com/chamberlaincoffee 
twitter: www.twitter.com/chamberlaincof 
tiktok: @chamberlaincoffee
pinterest: https://pin.it/T0Frswj",2024-11-15T22:31:58Z,9283,13,35.0,Chamberlain Coffee,"meet coconut cold brew meet coconut cold brew, made for iced-coffee-only type weather with tasting notes of sweet coconut, rich caramel and creamy macadamia nut… 

website: www.chamberlaincoffee.com 
instagram: www.instagram.com/chamberlaincoffee 
twitter: www.twitter.com/chamberlaincof 
tiktok: @chamberlaincoffee
pinterest: https://pin.it/T0Frswj",https://www.youtube.com/watch?v=J4fftbnA6-s,Positive,8,1,4,13
K4z2PUSxti0,emma & kendall's bloopers,"spilling espresso martini secrets with emma and kendall

818 Tequila is a registered trademark of K & Soda Inc. Produced under license from 818 Spirits Inc© 2024. Please Drink Responsibly. 818 Tequila, 40% Alc./Vol. ©2024 Imported by 818 Spirits, Manhasset, NY.

21+ only. Please do not share with anyone under the legal purchase age for alcohol. Drink responsibly. Don't drink and drive.

website: www.chamberlaincoffee.com 
instagram: www.instagram.com/chamberlaincoffee 
twitter: www.twitter.com/chamberlaincof 
tiktok: @chamberlaincoffee
pinterest: https://pin.it/T0Frswj",2024-04-25T19:00:09Z,100709,59,75.0,Chamberlain Coffee,"emma & kendall's bloopers spilling espresso martini secrets with emma and kendall

818 Tequila is a registered trademark of K & Soda Inc. Produced under license from 818 Spirits Inc© 2024. Please Drink Responsibly. 818 Tequila, 40% Alc./Vol. ©2024 Imported by 818 Spirits, Manhasset, NY.

21+ only. Please do not share with anyone under the legal purchase age for alcohol. Drink responsibly. Don't drink and drive.

website: www.chamberlaincoffee.com 
instagram: www.instagram.com/chamberlaincoffee 
twitter: www.twitter.com/chamberlaincof 
tiktok: @chamberlaincoffee
pinterest: https://pin.it/T0Frswj",https://www.youtube.com/watch?v=K4z2PUSxti0,Positive,28,4,14,46
NVvZjKRCqbc,emma & kendall's espresso martini,"meet your new favorite espresso martini. limited-edition candied pecan cold brew singles drop today. shop now at chamberlaincoffee.com

818 Tequila is a registered trademark of K & Soda Inc. Produced under license from 818 Spirits Inc© 2024. Please Drink Responsibly. 818 Tequila, 40% Alc./Vol. ©2024 Imported by 818 Spirits, Manhasset, NY.

21+ only. Please do not share with anyone under the legal purchase age for alcohol. Drink responsibly. Don't drink and drive.

website: www.chamberlaincoffee.com 
instagram: www.instagram.com/chamberlaincoffee 
twitter: www.twitter.com/chamberlaincof 
tiktok: @chamberlaincoffee
pinterest: https://pin.it/T0Frswj",2024-04-24T12:58:00Z,513339,345,218.0,Chamberlain Coffee,"emma & kendall's espresso martini meet your new favorite espresso martini. limited-edition candied pecan cold brew singles drop today. shop now at chamberlaincoffee.com

818 Tequila is a registered trademark of K & Soda Inc. Produced under license from 818 Spirits Inc© 2024. Please Drink Responsibly. 818 Tequila, 40% Alc./Vol. ©2024 Imported by 818 Spirits, Manhasset, NY.

21+ only. Please do not share with anyone under the legal purchase age for alcohol. Drink responsibly. Don't drink and drive.

website: www.chamberlaincoffee.com 
instagram: www.instagram.com/chamberlaincoffee 
twitter: www.twitter.com/chamberlaincof 
tiktok: @chamberlaincoffee
pinterest: https://pin.it/T0Frswj",https://www.youtube.com/watch?v=NVvZjKRCqbc,Positive,54,18,28,100
tgwz7DkhgTQ,emma and kendall’s unofficial history of the espresso martini,"espresso martini: the origin story.  see you tomorrow. 👀☕️

818 Tequila is a registered trademark of K & Soda Inc. Produced under license from 818 Spirits Inc© 2024. Please Drink Responsibly. 818 Tequila, 40% Alc./Vol. ©2024 Imported by 818 Spirits, Manhasset, NY.

21+ only. Please do not share with anyone under the legal purchase age for alcohol. Drink responsibly. Don't drink and drive.

website: www.chamberlaincoffee.com 
instagram: www.instagram.com/chamberlaincoffee 
twitter: www.twitter.com/chamberlaincof 
tiktok: @chamberlaincoffee
pinterest: https://pin.it/T0Frswj",2024-04-23T18:58:00Z,17684,31,52.0,Chamberlain Coffee,"emma and kendall’s unofficial history of the espresso martini espresso martini: the origin story.  see you tomorrow. 👀☕️

818 Tequila is a registered trademark of K & Soda Inc. Produced under license from 818 Spirits Inc© 2024. Please Drink Responsibly. 818 Tequila, 40% Alc./Vol. ©2024 Imported by 818 Spirits, Manhasset, NY.

21+ only. Please do not share with anyone under the legal purchase age for alcohol. Drink responsibly. Don't drink and drive.

website: www.chamberlaincoffee.com 
instagram: www.instagram.com/chamberlaincoffee 
twitter: www.twitter.com/chamberlaincof 
tiktok: @chamberlaincoffee
pinterest: https://pin.it/T0Frswj",https://www.youtube.com/watch?v=tgwz7DkhgTQ,Positive,21,5,1,27
MJEmSmvzGJM,strangers taste test our new product...,"we get it… some of you loved it and some of you didn’t. so here’s our sweeter oatmilk ready-to-drink lattes. now available at walmart 

website: www.chamberlaincoffee.com 
instagram: www.instagram.com/chamberlaincoffee 
twitter: www.twitter.com/chamberlaincof 
tiktok: @chamberlaincoffee
pinterest: https://pin.it/T0Frswj",2023-12-01T17:00:16Z,25714,38,247.0,Chamberlain Coffee,"strangers taste test our new product... we get it… some of you loved it and some of you didn’t. so here’s our sweeter oatmilk ready-to-drink lattes. now available at walmart 

website: www.chamberlaincoffee.com 
instagram: www.instagram.com/chamberlaincoffee 
twitter: www.twitter.com/chamberlaincof 
tiktok: @chamberlaincoffee
pinterest: https://pin.it/T0Frswj",https://www.youtube.com/watch?v=MJEmSmvzGJM,Positive,27,2,7,36
jqSnKAtVU74,wok from halls episode #1 | hot katsu curry,"students. it’s here. the hottest dish to hit halls across the uk. the legendary hot katsu 🔥
-
we’ve teamed up with @mobkitchen to bring some wagamama classics to campus this freshers, with our new collab series #wokfromhalls
-
the sauce
-
2 onions
2 cloves of garlic
5cm piece of ginger
4 tbsp mild curry powder
2 tsp turmeric
2 tbsp plain flour
600ml vegetable stock
200ml coconut milk
2 tsp light soy sauce
2 tsp sugar
2 tbsp chilli flakes
50ml sriracha / tabasco
-
the chicken
-
2 large chicken breasts
2 egg
50g flour
60g panko breadcrumbs
250g sachet of cooked rice
20g mixed leaves (we use red chard and spinach)
salt
vegetable oil",2020-09-16T12:48:19Z,14737,16,160.0,wagamamauk,"wok from halls episode #1 | hot katsu curry students. it’s here. the hottest dish to hit halls across the uk. the legendary hot katsu 🔥
-
we’ve teamed up with @mobkitchen to bring some wagamama classics to campus this freshers, with our new collab series #wokfromhalls
-
the sauce
-
2 onions
2 cloves of garlic
5cm piece of ginger
4 tbsp mild curry powder
2 tsp turmeric
2 tbsp plain flour
600ml vegetable stock
200ml coconut milk
2 tsp light soy sauce
2 tsp sugar
2 tbsp chilli flakes
50ml sriracha / tabasco
-
the chicken
-
2 large chicken breasts
2 egg
50g flour
60g panko breadcrumbs
250g sachet of cooked rice
20g mixed leaves (we use red chard and spinach)
salt
vegetable oil",https://www.youtube.com/watch?v=jqSnKAtVU74,Positive,8,1,2,11
